"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 160.79","5","274","Central Woodside","5","1","5","0","","$25,495,000","03/13/2017","158,558","ML81642092","072-202-150","Woodside","2,306.20","","","11,055","Active","140 Winding Way","2012","94062","R1003A"
"$ 374.15","23","291","El Camino to Alameda","5","1","4","38","","$18,900,000","02/03/2017","50,514","ML81637683","070-180-250","Atherton","1,986.75","","","9,513","Active","8 Faxon Forests","1994","94027","R10000"
"$ 21.68","16","263","Central Portola Valley","5","3","5","28","720","$16,988,000","02/13/2017","783,644","ML81638731","077-060-300","Portola Valley","2,495.30","","","6,808","Active","127 Pinon Drive","2001","94028","R10000"
"$ 317.67","15","290","Alameda to 280","9","0","7","14","","$16,500,000","02/27/2017","51,941","ML81640220","073-202-020","Atherton","1,295.13","","","12,740","Active","1 Ridge View Drive","2002","94027","R1001A"
"$ 323.78","62","291","El Camino to Alameda","4","1","4","14","","$14,950,000","02/27/2017","46,174","ML81640252","070-201-010","Atherton","3,863.05","","","3,870","Active","96 Faxon Road","1955","94027","R1001A"
"$ 328.69","121","452","Hillsborough Oaks Etc.","5","1","7","45","","$13,888,000","01/27/2017","42,253","ML81636916","028-030-190","Hillsborough","1,388.80","","","10,000","Active","2260 Forest View Avenue","1896","94010","R10025"
"$ 305.79","60","291","El Camino to Alameda","4","3","5","47","","$13,495,000","01/25/2017","44,132","ML81636668","070-201-090","Atherton","1,993.35","","","6,770","Active","74 Barry Lane","1957","94027","R1001A"
"$ 215.94","94","291","El Camino to Alameda","3","0","5","59","","$12,998,000","01/02/2017","60,192","ML81634494","070-330-050","Atherton","3,713.71","03/02/2017","","3,500","Pending","220 Park Lane","1923","94027","r-3"
"$ 51.73","78","221","Los Altos Hills","5","1","9","4","","$12,888,000","03/09/2017","249,163","ML81641640","336-42-018","Los Altos Hills","926.53","","","13,910","Active","11627 Dawson Drive","1939","94024","RA"
"$ 146.92","27","291","El Camino to Alameda","6","1","7","26","","$12,800,000","02/15/2017","87,120","ML81639086","073-230-260","Atherton","1,471.26","","","8,700","Active","295 Atherton Avenue","1990","94027","R10000"
